model,preference_profile,start_value,final_value,total_return_pct,max_drawdown_pct,ann_vol_pct,ann_return_pct,sharpe_like,avg_hsiesg_share,avg_portfolio_esg_score
PPO,Balanced,1000000.0,1235760.8921406,23.57608921405998,-20.164318651825464,19.49843417804334,12.497362728546868,0.6409418630455881,0.0,0.0
TD3,Balanced,1000000.0,1171784.7475541004,17.178474755410033,-19.942062909544333,19.531080532972688,9.219318186702697,0.4720331868550997,39.08622859433342,0.17580481768533998
SAC,Balanced,1000000.0,1159937.3908319003,15.99373908319004,-20.60582405403225,19.904289329529004,8.603640744382556,0.4322505868932797,7.768800729399181,0.048486429254172916
DDPG,Balanced,1000000.0,1138705.9408495002,13.870594084950017,-22.401467491525228,21.746393031643056,7.49327132069586,0.34457536520159654,33.259911894273124,0.17010373273104937
A2C,Balanced,1000000.0,1083628.7874289998,8.362878742899982,-27.89144166654949,25.108329921911256,4.5691892160037995,0.18197901772894942,0.0,0.0
PPO,ESGTilt,1000000.0,1234674.6539306,23.467465393059996,-20.069781671062803,19.403708886748312,12.442342799190298,0.6412352850587111,0.0,0.0
TD3,ESGTilt,1000000.0,1172305.8328041004,17.230583280410027,-20.029629638894487,19.620818688955495,9.246334115309107,0.4712511879289646,38.54715466625604,0.17324040600674334
SAC,ESGTilt,1000000.0,1156397.2943743002,15.639729437430017,-21.024088862896363,20.259584437060976,8.419129999910124,0.41556281798697514,8.184352602016356,0.051541160332748755
DDPG,ESGTilt,1000000.0,1138705.9408495002,13.870594084950017,-22.401467491525228,21.746393031643056,7.49327132069586,0.34457536520159654,33.259911894273124,0.17010373273104937
A2C,ESGTilt,1000000.0,1086309.5031589998,8.630950315899977,-28.284628024891045,25.58625489178773,4.713015471038795,0.18420106775968623,0.0,0.0
PPO,ReturnTilt,1000000.0,1235760.8921406,23.57608921405998,-20.164318651825464,19.49843417804334,12.497362728546868,0.6409418630455881,0.0,0.0
TD3,ReturnTilt,1000000.0,1177432.8189113003,17.743281891130035,-20.318648557421525,19.91618673162742,9.511861750433926,0.47759452542834635,38.779722475867125,0.17731281503106427
SAC,ReturnTilt,1000000.0,1164418.0807471,16.441808074710007,-20.506506975360995,19.837639995058222,8.83681758190875,0.4454570999428411,7.075588853414767,0.04333565723710496
DDPG,ReturnTilt,1000000.0,1138705.9408495002,13.870594084950017,-22.401467491525228,21.746393031643056,7.49327132069586,0.34457536520159654,33.259911894273124,0.17010373273104937
A2C,ReturnTilt,1000000.0,1082633.692179,8.263369217900006,-28.85490657186205,25.781723582006784,4.515760011627856,0.1751535345286004,0.0,0.0
PPO,RiskTilt,1000000.0,1235715.2565505998,23.57152565505998,-20.165053739937512,19.499152982122972,12.49505163534026,0.6407997130334766,0.0,0.0
TD3,RiskTilt,1000000.0,1171965.5275741003,17.196552757410032,-19.837641711936637,19.42526035302249,9.228691422131586,0.4750871419180561,40.82155572229994,0.1857674865291663
SAC,RiskTilt,1000000.0,1160411.7527536002,16.04117527536002,-20.874194078372057,20.158518964383898,8.628345615802946,0.4280247785587582,7.814533283424742,0.04861720866631002
DDPG,RiskTilt,1000000.0,1138705.9408495002,13.870594084950017,-22.401467491525228,21.746393031643056,7.49327132069586,0.34457536520159654,33.259911894273124,0.17010373273104937
A2C,RiskTilt,1000000.0,1090240.6989089998,9.024069890899987,-28.46158091961334,25.82931660038473,4.9236482149305205,0.19062247333548046,0.0,0.0
